"NAMA BARANG","HARGA BELI","HARGA JUAL",LABA
"Baso Cilok Kriwil",10000,11000,1000
"Baso Mercon",7000,8000,1000
"Baso Mercon 2",6000,8000,2000
"Baso Tahu",9000,10000,1000
"Baso Tahu 2",8000,10000,2000
Basreng,5000,6000,1000
"Basreng 2",2000,2500,500
"Basreng 3",10000,10500,500
Bayam,9000,10000,1000
"Bear Brand","9801,67",11000,1198
Belimbing,"1666,67",2167,500
"Belimbing 2",4000,4500,500
"Bendera Coklat",830,1330,500
"Bendera Putih",830,1330,500
Bengbeng,"2176,47",3000,824
Beton,2500,3000,500
Better,"1416,67",2000,583
"Blue Bun GT",4000,5000,1000
Bolen,2500,3000,500
"Bolu Keju",2500,3000,500
"Bolu Kukus",1500,2000,500
"Bolu Pisang",7000,8000,1000
Brownies,7000,8000,1000
"Brownies 2",6000,8000,2000
"Buah Potong",7000,8000,1000
Carnation,17500,18000,500
"CC Roll",1500,2000,500
"CC Roll 2",2000,2500,500
"Cente Manis",2000,2500,500
"Charm 23 cm",1350,2000,650
"Charm Safe Night",2700,3500,800
Cheetos,10200,12000,1800
"Chif Cokelat",5000,6000,1000
"Chif Pandan",5000,6000,1000
"Chif Pandan 2",8500,9000,500
"Choco Bun",4000,4800,800
"Choco Cheese GT",4000,4800,800
"Choco Chips",102000,120500,18500
Chocolatos,875,1000,125
"Chocolatos 1000","895,83",1500,604
"Chocolatos 500","458,33",1000,542
"Chocolatos 500 2","437,50",1000,563
"Chocolatos 500 3","604,17",1104,500
"Chocolatos Dark","895,83",1500,604
"Chocolatos Mix","916,67",1500,583
"Chocolatos Rich Roll","895,83",1500,604
"Chocolatos Rich Roll 2",875,1500,625
"Choki Choki",900,1000,100
Cibay,1500,2000,500
"Cibay 2",2000,2500,500
Cicos,4500,5000,500
"Cicos 2",4000,5000,1000
Cikumy,9000,10000,1000
Cilok,2500,3000,500
"Cilok 2",1500,2000,500
"Cipet Lakar",4000,5000,1000
"Ciqist Keripik",4000,5000,1000
"Cireng Danu",2000,2500,500
"Cireng Irfan",1500,2000,500
"Cireng Japlun",2000,2500,500
Cistik,2500,3000,500
Cococrunch,1700,2000,300
"Coconut Bun GT",4000,4800,800
"Coconut Bun GT 2",6000,6500,500
Combro,1500,2000,500
Cookies,6000,8000,2000
"Cookies 2",9000,9500,500
Corong,2500,3000,500
"Creamy Latte",1700,2200,500
Cucur,5000,6000,1000
"Dadar Gulung",2500,3000,500
"Dadar Gulung 2",2000,2500,500
"Dancow Cokelat","3615,30",4500,885
"Dancow Putih","3615,30",4500,885
"Danish Bread Cheese",16500,19800,3300
"Danish Bread Chocolate",16500,19800,3300
"Danish Roll Triple Cheese",7500,9000,1500
Dilan,"1666,67",2167,500
"Dilan 5 in 1","1833,33",2500,667
Dimsum,5000,6000,1000
"Dimsum Mentai",10000,12000,2000
Donat,2500,3000,500
"Donat 2",2000,2500,500
"Dryk Ckl",6000,7200,1200
"Dryk Martabak",6000,7200,1200
"Dryk Nastar",6000,7200,1200
"Dryk Pandan Sarikaya",6000,7200,1200
"Dryk Straw",6000,7200,1200
Ekado,8000,9000,1000
"Elang Snack",8500,10000,1500
"Energen Cokelat",1950,2500,550
"Energen Kurma",2300,3000,700
"Energen Vanilla",1950,2500,550
"Energen Vanilla 2",1800,2500,700
"Es Lilin Buah",2000,2500,500
Floridina,"1354,17",2000,646
"Floridina 2",2750,3500,750
"Floridina 3","2533,33",3033,500
"Floridina Coco","2708,33",3500,792
"French Fries",7100,9000,1900
"Frestea Apple",3104,4000,896
"Frestea Blackcurrant",3104,4000,896
"Frestea Green Honey",3104,4000,896
"Frestea Green Honey Mint",3104,4000,896
"Frestea Jasmine",3136,4000,864
"Frestea Jasmine 2",3104,4000,896
"Frestea Markisa",3136,4000,864
"Frestea Markisa 2",3104,4000,896
"Funwari Roll Cheese",6000,7200,1200
"Funwari Roll Cheese 2",600,1100,500
"Funwari Roll Cokelat",6000,7200,1200
"Gaga Otak-Otakku",2100,2600,500
Gehu,1500,2000,500
Gemblong,2000,2500,500
"Gemblong 2",2500,3000,500
"Gery Salut Roll","437,50",1000,563
"GO'Nola Chocolate Vanilla",6600,8000,1400
"Go'Nola Tripple Berry",6600,8000,1400
"Good Day Cappuccino",2100,2600,500
"Good Day Cappucino",2100,2600,500
"Good Day CoolIn",1500,2000,500
"Good Day Coolin",1500,2000,500
"Good Day Freeze",2500,3000,500
"Good Day Moccacino",1500,2000,500
"Good Day Vanilla Latte",1500,2000,500
"Good Time",2150,2500,350
Hanaang,6500,8000,1500
"Hanaang 2",6000,8000,2000
Honeymon,5500,7000,1500
"Honeymon 2",5900,7000,1100
"Ice Roast",1180,1680,500
"Ichitan Brown Sugar","5945,96",7000,1054
"Ichitan Green Tea Apple","3040,54",3541,500
"Ichitan Green Tea Blackcurrant","3040,54",3541,500
"Ichitan Green Tea Honey Lemon","3040,54",3541,500
"Ichitan Roasted Cheese","5945,92",7000,1054
"Ichitan Thai Coconut Mango","5945,96",7000,1054
"Ichitan Thai Milk Green Tea","5945,96",7000,1054
"Ichitan Thai Milk Tea","5945,96",7000,1054
Indocafemix,1550,2050,500
"Indocafemix 2",1700,2200,500
Isoplus,"1291,67",1792,500
"Isoplus Coco",2400,3000,600
"Japota Umami Japanese Seaweed",1660,2160,500
Jelly,2500,3000,500
Jetz,4250,5000,750
Jolly,8500,10000,1500
"Kacang Gimbal",17000,20000,3000
"Kapal Api Mix",1750,2500,750
Karoket,1500,2000,500
"Karoket 2",3000,3500,500
"Karoket Ayam",2500,3000,500
"Kasur Keju",13500,16200,2700
"Kentang Goreng",9000,10000,1000
Keriwil,2500,3000,500
"Keriwil 2",5000,5500,500
Kerupuk,1600,2000,400
"Kerupuk 2",4000,4500,500
"Kerupuk Jedar",2000,2500,500
"Kerupuk Kulit",4000,5000,1000
"Kerupuk Sapi",4000,5000,1000
Ketan,2500,3000,500
"Ketan 2",2000,2500,500
"Ketan Japlun",4500,5000,500
"Ketan Japlun 2",1500,2000,500
"Koko Crunch",1700,2200,500
"Kopi Gadjah",1700,2200,500
"Kopi Sosio",12500,13000,500
"Kopi Sosio 2",2000,2500,500
Kripca,2000,2500,500
"Kripca 2",4500,5000,500
"Kripca Asin",5000,6000,1000
"Kripca Balado",4500,6000,1500
"Kripca Ori",4500,6000,1500
"Kripca Pedas",5000,6000,1000
"Kripca Pedas 2",4500,6000,1500
"Kripca Pedas Kecil",4000,5000,1000
"Kripca Pedas Sedang",8000,10000,2000
"Kripik Ubi",4000,5000,1000
Kriwil,2500,3000,500
"Ksr Keju",13500,16200,2700
"Ksr Keju 2",14000,16200,2200
"Ksr Keju 3",11000,13000,2000
"Ksr Krim Meses",11500,13300,1800
Lap,4000,4500,500
"Laurier 500",7000,8400,1400
"Lays Chitato",4250,5000,750
"Le Minerale","1958,33",2500,542
Lemper,2500,3000,500
"Lidi Keju",5000,6000,1000
"Lidi Pedas",5000,6000,1000
Lontong,2000,2500,500
"Lontong 2",1500,2000,500
"Lumpia Goreng",3000,3500,500
"Lumpia Goreng 2",2000,2500,500
"Lumpia Kering Pedas",4000,5000,1000
"Lunch Pack Cheese Cake",5000,6000,1000
"lunch Pack Cheese Cake",5000,6000,1000
"Lunch Pack Cheese Lava",5000,6000,1000
"Lunch Pack Choco Cheese",6000,7200,1200
"Lunch Pack Choco Lava",5000,6000,1000
"Lunch Pack Clasic Choco",5000,6000,1000
"Luwak Hitam",1600,2100,500
"Madu Super Nusantara",3250,4000,750
Makaroni,2000,2500,500
"Makaroni 2",1600,2100,500
"Makaroni 3",4000,4500,500
"Makaroni 4","1666,67",2167,500
"Makaroni 5",5000,5500,500
"Makaroni 6",3200,4000,800
"Makaroni 7",2500,3000,500
"Makaroni BBQ",5000,6000,1000
"Makaroni Jeruk Pedas",5000,6000,1000
"Makaroni Rujak",5000,6000,1000
"Makaroni Spiral",5000,6000,1000
Makban,4000,5000,1000
"Makban 2",4250,5000,750
Makroni,5000,6000,1000
"Makroni 2",6000,6500,500
"Max Tea",2500,3000,500
"Mie Gulung Pedas",4000,5000,1000
Milkita,720,1220,500
"Milku Cokelat","2866,67",3500,633
"Milku Original","2866,67",3500,633
"Milku Strawberry","2866,67",3500,633
"Milo 22gr","1862,50",2500,638
"Milo kaleng","8570,96",11000,2429
"Milo Kaleng","8571,04",11000,2429
"Minute Maid Pulpy","4494,33",5500,1006
Mochi,4500,5000,500
"Moci Japlun",2500,3000,500
"Mooochi Mango","2362,50",3000,638
"Mooochi Vanilla","2362,50",3000,638
Moring,4000,5000,1000
"Moring Asin",5000,5500,500
"Moring Kecil Ori",4000,5000,1000
"Moring Kecil Pedas",4000,5000,1000
"Moring Pedas",5000,6000,1000
"Moring Sedang Ori",8000,10000,2000
"Moring Sedang Pedas",8000,10000,2000
"Nabati 500",375,500,125
"Nasi Ayam Serundeng",12000,14000,2000
"Nasi Bakar",8000,10000,2000
"Nasi Bakar 2",5000,6000,1000
"Nasi Bakar 3",9000,10000,1000
"Nasi Cokot",5000,6000,1000
"Nasi Kuning",8500,10000,1500
"Nescafe 3 in 1",1470,2000,530
"Nescafe Kaleng","5729,17",7000,1271
"Nice Tissue",18900,19500,600
"Nyere Asin",5000,6000,1000
"Nyere Pedas",5000,6000,1000
Onde,5000,6000,1000
"Onde 2",5500,6000,500
Onigiri,9000,10000,1000
"Oreo Cheesecake",9000,10000,1000
"Oreo Chocolate","916,67",1500,583
Otak-Otak,1000,1500,500
Panada,3000,4000,1000
Pangsit,5000,6000,1000
"Pangsit Bojot",10000,12000,2000
"Pangsit Goreng",9000,10000,1000
Pastel,2000,2500,500
"Pastel 2",3000,3500,500
"Pastel 3",2500,3000,500
Pempek,9000,11000,2000
Permen,140,640,500
"Permen Antangin",128,628,500
"Permen Kaki",130,630,500
"Permen Kiss",150,650,500
"Permen Kiss 2",140,640,500
"Permen Kopiko",200,700,500
"Permen Mentos",140,640,500
"Permen Relaxa",140,640,500
"Pie Cheese",7500,9000,1500
Pikdas,4000,5000,1000
"Pikdas 2",3500,4500,1000
"Pisang Cokelat",4000,5000,1000
"Pisang Cokelat 2",3500,4500,1000
"Pisang Goreng",1500,2000,500
"Pisang Goreng 2",2000,2500,500
Piscok,3000,3500,500
"Pop Mie","4791,67",6000,1208
"Pop Mie Ayam Bawang","4791,67",6000,1208
"Pop Mie Ayam Bawang 2","3333,33",4000,667
"Pop Mie Ayam Bawang 3",4500,5500,1000
"Pop Mie Dower Kuah",5000,6000,1000
"Pop Mie Goreng",5000,6000,1000
"Pop Mie Soto Ayam","4791,67",6000,1208
Puding,2000,2500,500
"Rafa Putra",1600,2000,400
"Rafael Pedas",5000,6000,1000
Ramban,1500,2000,500
Rarawuan,1500,2000,500
"Rarawuan 2",2000,2500,500
"Refail Asin",5000,6000,1000
"Refail Pedas",5000,6000,1000
Ricebowl,10000,12000,2000
"Ricebowl 2",12000,12500,500
"Ricebowl Pa Hadi",12000,14000,2000
"Rinbeepopy Pop",1320,2000,680
"Risol Mayo",3000,3500,500
"Risol Mayo Pedas",3500,4000,500
"Risol Mayo Pedas 2",3000,3500,500
Risoles,1500,2000,500
Ron,"1708,33",2208,500
Roti,4000,5000,1000
"Roti 2",4500,5000,500
"Roti 3",2500,3000,500
"Roti 4",2000,2500,500
"Roti Bakar",6000,7000,1000
"Roti Bakar 2",7000,7500,500
"Roti Cokelat",6000,8000,2000
"Roti Gulung",1825,2500,675
"Roti Isi Cokelat",5000,6000,1000
"Roti Isi Keju",5000,6000,1000
"Roti Isi Susu",5000,6000,1000
"Roti Pandan Pisang Coklat",7000,8000,1000
"Roti Pisang Cokelat",7000,8000,1000
"Roti Tawar Funwari",14500,17400,2900
"Sand Keju",6000,7200,1200
Sand.Ckl,6000,7200,1200
Sand.Kacang,6000,7200,1200
Sand.Keju,6000,7200,1200
Sand.Sarikaya,6000,7200,1200
Sandwich,4500,5400,900
"Sandwich Cokelat",4500,5400,900
"Sandwich Margarin Manis",4500,5400,900
"Sandwich Sarikaya",4500,5400,900
Sandzup.Ckl,5000,6000,1000
Sandzup.Moc,5000,6000,1000
Sandzup.Straw,5000,6000,1000
Sandzup.Strw,5000,6000,1000
"Sari Gandum","1666,67",2167,500
"Sari Gandum 2",1750,2500,750
"Sbk Cokelat",18000,21600,3600
"Sbk Cokelat 2",13500,16000,2500
"Sbk Cokelat Keju",18000,21600,3600
"Sbk Cokelat Keju 2",18500,21600,3100
"Sbk Cokelat Sarikaya",18000,21600,3600
"Sbk Duo Cokelat",10500,13000,2500
"Sbk Duo Cokelat 2",8000,9500,1500
"Sbk Duo Cokelat Keju",8500,9700,1200
"Sbk Duo Cokelat Sarikaya",8500,9700,1200
"Sbk Duo Keju",8000,9600,1600
"Sbk Keju",18000,21600,3600
"Sbk Sarikaya",18000,21600,3600
Seblak,2000,2500,500
"Seblak 2",2500,3000,500
"Seblak Beton",2500,3000,500
"Seblak Beton 2",2000,2500,500
"Sebra Asin",5000,6000,1000
"Sebra Pedas",5000,6000,1000
"Sedaap Mie Cup Ayam Jerit",4250,5000,750
"Sedaap Mie Cup Ayam Nampool",4250,5000,750
"Sedaap Mie Cup Baso Beleduk",4250,5000,750
"Sedaap Mie Cup Baso Bleduk",4250,5000,750
"Sedaap Mie Cup Goreng",4450,5500,1050
"Sedaap Mie Cup Korean Spicy",4450,5500,1050
"Sedaap Mie Cup Soto",4250,5000,750
"Si Lahetot",5000,6000,1000
"SIomay Ayam",5000,6000,1000
"Sisir Mentega",11000,13200,2200
"Sisir Mentega 2",11500,13200,1700
"Snack Besar",5000,6000,1000
"Snack Kecil",4000,5000,1000
"So Nice","833,33",1333,500
"Sobek Cokelat",16500,19800,3300
"Sobek Cokelat Keju",16500,19800,3300
"Sobek Cokelat Susu",16500,19800,3300
"Sop Buah",4000,5000,1000
"Sosis So Nice","791,67",1292,500
"Sosis So Nice 2","833,33",1333,500
"Sosis Solo",2500,3000,500
"Sosis Solo 2",3000,3500,500
Spagetti,9000,10000,1000
"Spagetti 2",5000,6000,1000
"Spagetti B",7000,8000,1000
"Spagetti Pa Hadi",11000,12000,1000
"Spagetti Pa hadi",9000,10000,1000
Sponge,6700,7500,800
"Sponge 2","2791,67",3500,708
"Steam Cake Cheese",9000,10800,1800
"Steam Cake Cheese Choco",9000,10800,1800
"Steam Cake Chocolate",9000,10800,1800
"Steam Cake Red Velvet",9000,10800,1800
"Steam Cake Strawberry",9000,10800,1800
"Steam Cake Strawberry Choco",9000,10800,1800
STMJ,1400,2000,600
"Straw Bun GT",4000,4800,800
Sunlight,2000,2500,500
"Super Zuper",140,640,500
Superstar,750,1250,500
"Superstar 2",900,1500,600
"Superstar 3",1500,2000,500
"Superstar Snap",1750,2500,750
Surandil,2000,2500,500
Sus,3000,3500,500
"Sus 2",2500,3000,500
"Sus Buah",3500,4000,500
Susu,3000,4000,1000
"Swe Cheese Bun GT",4000,4800,800
"Tahu Krispi",4000,4500,500
"Tango Waffle Hazelnut","916,67",1500,583
"Teh Pucuk Harum","2583,33",3083,500
"Teh Pucuk Harum 2","2458,33",3000,542
Tempe,2000,2500,500
Tempura,5000,6000,1000
Tessa,5000,5500,500
Tissue,9000,9500,500
"Tolak Angn","3833,33",5000,1167
"Top Strawberry","862,50",1000,138
"Torabika Creamy Latte",1650,2150,500
"Twist Chocolate",6000,8000,2000
Ulen,2000,2500,500
"Ulen 2",1000,1500,500
"Ulen 3",1500,2000,500
"Ultra 200 Ml","4708,33",5500,792
"Ultra Cokelat",5250,7000,1750
"Ultra Moca",5250,7000,1750
Ultramilk,"4708,33",5500,792
Usus,2000,2500,500
Waffle,5000,6000,1000
"Waffle Ori",5000,6000,1000
"Ya'bar Chocolate",6200,8000,1800
"Yeos Grass Jelly","4954,96",6000,1045
"Yeos Grass Jelly 2",5500,7000,1500
Yupi,220,720,500
"Z Krim Chodbl",5000,6000,1000
"Z Krim Cokelat",5000,6000,1000
"Z Krim Keju",5000,6000,1000
"Z Krim Moka",5000,6000,1000
"Z Krim Strawberry",5000,6000,1000
