NAMA BARANG,HARGA BELI,HARGA JUAL,LABA
Dimsum,5000,6000,1000
Dimsum Mentai,10000,11000,1000
Donat,2500,3000,500
Dryk Ckl,6000,7000,1000
Dryk Martabak,6000,7000,1000
Dryk Nastar,6000,7000,1000
Dryk Pandan Sarikaya,6000,7000,1000
Dryk Straw,6000,7000,1000
Ekado,8000,9000,1000
Elang Snack,8500,9000,500
Energen Cokelat,1950,3000,1050
Energen Kurma,2300,3000,700
Energen Vanilla,1950,3000,1050
Es Lilin Buah,2000,2500,500
Floridina,"1354,166667",3000,"1645,833333"
Floridina Coco,"2708,333333",3500,"791,6666667"
French Fries,7100,8000,900
Frestea Apple,3104,4000,896
Frestea Blackcurrant,3104,4000,896
Frestea Green Honey,3104,4000,896
Frestea Green Honey Mint,3104,4000,896
Frestea Jasmine,3136,4000,864
Frestea Markisa,3136,4000,864
Funwari Roll Cheese,6000,7000,1000
Funwari Roll Cokelat,6000,7000,1000
Gaga Otak-Otakku,2100,3000,900
Gehu,1500,2000,500
Gemblong,2000,2500,500
Gery Salut Roll,"437,5",500,"62,5"
GO'Nola Chocolate Vanilla,6600,7000,400
Go'Nola Tripple Berry,6600,7000,400
Good Day Cappuccino,2100,3000,900
Good Day Cappucino,2100,3000,900
Good Day CoolIn,1500,3000,1500
Good Day Coolin,1500,3000,1500
Good Day Freeze,2500,3000,500
Good Day Moccacino,1500,3000,1500
Good Day Vanilla Latte,1500,3000,1500
Good Time,2150,2500,350
Hanaang,6500,7500,1000
Honeymon,5500,6000,500
Ice Roast,1180,3000,1820
Ichitan Brown Sugar,"5945,958333",6500,"554,0416667"
Ichitan Green Tea Apple,"3040,541667",4000,"959,4583333"
Ichitan Green Tea Blackcurrant,"3040,541667",4000,"959,4583333"
Ichitan Green Tea Honey Lemon,"3040,541667",4000,"959,4583333"
Ichitan Roasted Cheese,"5945,916667",6500,"554,0833333"
Ichitan Thai Coconut Mango,"5945,958333",6500,"554,0416667"
Ichitan Thai Milk Green Tea,"5945,958333",6500,"554,0416667"
Ichitan Thai Milk Tea,"5945,958333",6500,"554,0416667"
Indocafemix,1550,3000,1450
Isoplus,"1291,666667",2500,"1208,333333"
Isoplus Coco,2400,3000,600
Japota Umami Japanese Seaweed,1660,2000,340
Jelly,2500,3000,500
Jetz,4250,5000,750
Jolly,8500,9000,500
Kacang Gimbal,17000,18000,1000
Kapal Api Mix,1750,3000,1250
Karoket,1500,2000,500
Karoket Ayam,2500,3000,500
Kasur Keju,13500,14500,1000
Kentang Goreng,9000,10000,1000
Keriwil,2500,3000,500
Kerupuk,1600,2000,400
Kerupuk Jedar,2000,2500,500
Kerupuk Kulit,4000,5000,1000
Kerupuk Sapi,4000,5000,1000
Ketan,2500,3000,500
Ketan Japlun,4500,5000,500
Koko Crunch,1700,2000,300
Kopi Gadjah,1700,2000,300
Kopi Sosio,12500,13000,500
Kripca,2000,2500,500
Kripca Asin,5000,6000,1000
Kripca Balado,4500,5000,500
Kripca Ori,4500,5000,500
Kripca Pedas,5000,6000,1000
Kripca Pedas Kecil,4000,5000,1000
Kripca Pedas Sedang,8000,9000,1000
Kripik Ubi,4000,4500,500
Kriwil,2500,3000,500
Ksr Keju,13500,14500,1000
Ksr Krim Meses,11500,12500,1000
Lap,4000,4000,0
Laurier 500,7000,7500,500
Lays Chitato,4250,5000,750
Le Minerale,"1958,333333",3500,"1541,666667"
Lemper,2500,3000,500
Lidi Keju,5000,6000,1000
Lidi Pedas,5000,6000,1000
Lontong,2000,2500,500
Lumpia Goreng,3000,3500,500
Lumpia Kering Pedas,4000,4500,500
Lunch Pack Cheese Cake,5000,6000,1000
lunch Pack Cheese Cake,5000,6000,1000
Lunch Pack Cheese Lava,5000,6000,1000
Lunch Pack Choco Cheese,6000,7000,1000
Lunch Pack Choco Lava,5000,6000,1000
Lunch Pack Clasic Choco,5000,6000,1000
Luwak Hitam,1600,3000,1400
Madu Super Nusantara,3250,4000,750
Makaroni,2000,2500,500
Makaroni BBQ,5000,6000,1000
Makaroni Jeruk Pedas,5000,6000,1000
Makaroni Rujak,5000,6000,1000
Makaroni Spiral,5000,6000,1000
Makban,4000,5000,1000
Makroni,5000,6000,1000
Max Tea,2500,3000,500
Mie Gulung Pedas,4000,5000,1000
Milkita,720,1000,280
Milku Cokelat,"2866,666667",3500,"633,3333333"
Milku Original,"2866,666667",3500,"633,3333333"
Milku Strawberry,"2866,666667",3500,"633,3333333"
Milo 22gr,"1862,5",3000,"1137,5"
Milo kaleng,"8570,958333",10000,"1429,041667"
Milo Kaleng,"8570,958333",10000,"1429,041667"
Minute Maid Pulpy,"4494,333333",5000,"505,6666667"
Mochi,4500,5000,500
Moci Japlun,2500,3000,500
Mooochi Mango,"2362,5",3000,"637,5"
Mooochi Vanilla,"2362,5",3000,"637,5"
Moring,4000,5000,1000
Moring Asin,5000,6000,1000
Moring Kecil Ori,4000,5000,1000
Moring Kecil Pedas,4000,5000,1000
Moring Pedas,5000,6000,1000
Moring Sedang Ori,8000,9000,1000
Moring Sedang Pedas,8000,9000,1000
Nabati 500,375,500,125
Nasi Ayam Serundeng,12000,13000,1000
Nasi Bakar,8000,9000,1000
Nasi Cokot,5000,6000,1000
Nasi Kuning,8500,9000,500
Nescafe 3 in 1,1470,3000,1530
Nescafe Kaleng,"5729,166667",7000,"1270,833333"
Nice Tissue,18900,18900,0
Nyere Asin,5000,6000,1000
Nyere Pedas,5000,6000,1000
Onde,5000,6000,1000
Onigiri,9000,10000,1000
Oreo Cheesecake,9000,10000,1000
Oreo Chocolate,"916,6666667",1000,"83,33333333"
Otak-Otak,1000,2000,1000
Panada,3000,3500,500
Pangsit,5000,6000,1000
Pangsit Bojot,10000,11000,1000
Pangsit Goreng,9000,10000,1000
Pastel,2000,2500,500
Pempek,9000,10000,1000
Permen,140,333,193
Permen Antangin,128,333,205
Permen Kaki,130,333,203
Permen Kiss,150,333,183
Permen Kopiko,200,333,133
Permen Mentos,140,333,193
Permen Relaxa,140,333,193
Pie Cheese,7500,8000,500
Pikdas,4000,5000,1000
Pisang Cokelat,4000,5000,1000
Pisang Goreng,1500,2000,500
Piscok,3000,3500,500
Pop Mie,"4791,666667",6000,"1208,333333"
Pop Mie Ayam Bawang,"4791,666667",6000,"1208,333333"
Pop Mie Dower Kuah,5000,6000,1000
Pop Mie Goreng,5000,6000,1000
Pop Mie Soto Ayam,"4791,666667",6000,"1208,333333"
Puding,2000,2500,500
Rafa Putra,1600,2000,400
Rafael Pedas,5000,6000,1000
Ramban,1500,2000,500
Rarawuan,1500,2000,500
Refail Asin,5000,6000,1000
Refail Pedas,5000,6000,1000
Ricebowl,10000,11000,1000
Ricebowl Pa Hadi,12000,13000,1000
Rinbeepopy Pop,1320,2000,680
Risol Mayo,3000,3500,500
Risol Mayo Pedas,3500,4000,500
Risoles,1500,2000,500
Ron,"1708,333333",2000,"291,6666667"
Roti,4000,4500,500
Roti Bakar,6000,7000,1000
Roti Cokelat,6000,7000,1000
Roti Gulung,1825,2500,675
Roti Isi Cokelat,5000,6000,1000
Roti Isi Keju,5000,6000,1000
Roti Isi Susu,5000,6000,1000
Roti Pandan Pisang Coklat,7000,8000,1000
Roti Pisang Cokelat,7000,8000,1000
Roti Tawar Funwari,14500,15500,1000
Sand Keju,6000,7000,1000
Sand.Ckl,6000,7000,1000
Sand.Kacang,6000,7000,1000
Sand.Keju,6000,7000,1000
Sand.Sarikaya,6000,7000,1000
Sandwich,4500,5000,500
Sandwich Cokelat,4500,5000,500
Sandwich Margarin Manis,4500,5000,500
Sandwich Sarikaya,4500,5000,500
Sandzup.Ckl,5000,6000,1000
Sandzup.Moc,5000,6000,1000
Sandzup.Straw,5000,6000,1000
Sandzup.Strw,5000,6000,1000
Sari Gandum,"1666,666667",2000,"333,3333333"
Sbk Cokelat,18000,18500,500
Sbk Cokelat Keju,18000,18500,500
Sbk Cokelat Sarikaya,18000,18500,500
Sbk Duo Cokelat,10500,11000,500
Sbk Duo Cokelat Keju,8500,9000,500
Sbk Duo Cokelat Sarikaya,8500,9000,500
Sbk Duo Keju,8000,8500,500
Sbk Keju,18000,18500,500
Sbk Sarikaya,18000,18500,500
Seblak,2000,2500,500
Seblak Beton,2500,3000,500
Sebra Asin,5000,6000,1000
Sebra Pedas,5000,6000,1000
Sedaap Mie Cup Ayam Jerit,4250,6000,1750
Sedaap Mie Cup Ayam Nampool,4250,6000,1750
Sedaap Mie Cup Baso Beleduk,4250,6000,1750
Sedaap Mie Cup Baso Bleduk,4250,6000,1750
Sedaap Mie Cup Goreng,4450,6000,1550
Sedaap Mie Cup Korean Spicy,4450,6000,1550
Sedaap Mie Cup Soto,4250,6000,1750
Si Lahetot,5000,6000,1000
SIomay Ayam,5000,6000,1000
Sisir Mentega,11000,12000,1000
Snack Besar,5000,6000,1000
Snack Kecil,4000,4500,500
So Nice,"833,3333333",1000,"166,6666667"
Sobek Cokelat,16500,17000,500
Sobek Cokelat Keju,16500,17000,500
Sobek Cokelat Susu,16500,17000,500
Sop Buah,4000,5000,1000
Sosis So Nice,"791,6666667",1000,"208,3333333"
Sosis Solo,2500,3000,500
Spagetti,9000,10000,1000
Spagetti B,7000,8000,1000
Spagetti Pa Hadi,11000,12000,1000
Spagetti Pa hadi,11000,12000,1000
Sponge,6700,7000,300
Steam Cake Cheese,9000,10000,1000
Steam Cake Cheese Choco,9000,10000,1000
Steam Cake Chocolate,9000,10000,1000
Steam Cake Red Velvet,9000,10000,1000
Steam Cake Strawberry,9000,10000,1000
Steam Cake Strawberry Choco,9000,10000,1000
STMJ,1400,2000,600
Straw Bun GT,4000,4500,500
Sunlight,2000,2000,0
Super Zuper,140,333,193
Superstar,750,1000,250
Superstar Snap,1750,2000,250
Surandil,2000,2500,500
Sus,3000,3500,500
Sus Buah,3500,4000,500
Susu,3000,3500,500
Swe Cheese Bun GT,4000,4500,500
Tahu Krispi,4000,4500,500
Tango Waffle Hazelnut,"916,6666667",1000,"83,33333333"
Teh Pucuk Harum,"2583,333333",3000,"416,6666667"
Tempe,2000,2500,500
Tempura,5000,6000,1000
Tessa,5000,6000,1000
Tissue,9000,10000,1000
Tolak Angn,"3833,333333",4500,"666,6666667"
Top Strawberry,"862,5",1000,"137,5"
Torabika Creamy Latte,1650,3000,1350
Twist Chocolate,6000,7000,1000
Ulen,2000,2500,500
Ultra 200 Ml,"4708,333333",5500,"791,6666667"
Ultra Cokelat,5250,6000,750
Ultra Moca,5250,6000,750
Ultramilk,"4708,333333",5500,"791,6666667"
Usus,2000,2500,500
Waffle,5000,5500,500
Waffle Ori,5000,5500,500
Ya'bar Chocolate,6200,7000,800
Yeos Grass Jelly,"4954,958333",6000,"1045,041667"
Yupi,220,500,280
Z Krim Chodbl,5000,6000,1000
Z Krim Cokelat,5000,6000,1000
Z Krim Keju,5000,6000,1000
Z Krim Moka,5000,6000,1000
Z Krim Strawberry,5000,6000,1000
