Tanggal,"Nama Barang",Quantity,Satuan,"Harga Satuan","Total Harga","Harga Jual",Laba,Revenue,Margin,"Jenis Produk"
03/02/2026,"Ricebowl Pa Hadi",27,Pcs,12000,324000,14000,54000,378000,"16,66666667%",Harian
03/02/2026,"CC Roll",50,Pcs,1500,75000,2000,25000,100000,"33,33333333%",Harian
03/02/2026,Tempe,12,Pcs,2000,24000,2500,6000,30000,25%,Ritel
03/02/2026,Onde,20,Pcs,2500,50000,3000,10000,60000,20%,Ritel
03/02/2026,Odading,31,Pcs,2500,77500,3000,15500,93000,20%,Ritel
03/02/2026,"Nasi Cokot",47,Pcs,5000,235000,7000,94000,329000,40%,Harian
03/02/2026,Cicos,28,Pcs,4000,112000,5000,28000,140000,25%,Harian
03/02/2026,"Pisang Goreng",23,Pcs,2000,46000,2500,11500,57500,25%,Ritel
03/02/2026,"Baso Cilok Kriwil",19,Pcs,10000,190000,11000,19000,209000,10%,Harian
03/02/2026,"Karoket Ayam",24,Pcs,2500,60000,3000,12000,72000,20%,Harian
03/02/2026,Risoles,20,Pcs,1500,30000,2000,10000,40000,"33,33333333%",Harian
03/02/2026,"Cireng Irfan",25,Pcs,1500,37500,2000,12500,50000,"33,33333333%",#N/A
03/02/2026,Cibay,25,Pcs,1500,37500,2000,12500,50000,"33,33333333%",Ritel
03/02/2026,"Pangsit Goreng",15,Pcs,9000,135000,10000,15000,150000,"11,11111111%",Harian
03/02/2026,"Pangsit Bojot",27,Pcs,10000,270000,12000,54000,324000,20%,Harian
03/02/2026,"Sosis Solo",61,Pcs,2500,152500,3000,30500,183000,20%,Ritel
03/02/2026,Spagetti,26,Pcs,9000,234000,10000,26000,260000,"11,11111111%",Harian
03/02/2026,"Risol Mayo Pedas",30,Pcs,3000,90000,3500,15000,105000,"16,66666667%",Harian
03/02/2026,Ricebowl,44,Pcs,10000,440000,12000,88000,528000,20%,Ritel
03/02/2026,"Si Lahetot",84,Pcs,5000,420000,7000,168000,588000,40%,Harian
03/02/2026,"Risol Mayo",116,Pcs,3000,348000,3500,58000,406000,"16,66666667%",Harian
03/02/2026,"Cireng Danu",100,Pcs,2000,200000,2500,50000,250000,25%,#N/A
03/02/2026,Donat,29,Pcs,2500,72500,3000,14500,87000,20%,Ritel
03/02/2026,"Dadar Gulung",4,Pcs,2500,10000,3000,2000,12000,20%,Ritel
03/02/2026,Ketan,12,Pcs,2000,24000,2500,6000,30000,25%,Harian
03/02/2026,Sus,37,Pcs,3000,111000,3500,18500,129500,"16,66666667%",Ritel
03/02/2026,Bakwan,29,Pcs,2000,58000,2500,14500,72500,25%,Harian
03/02/2026,"Nasi Bakar",12,Pcs,8000,96000,10000,24000,120000,25%,Harian
03/02/2026,Cilok,40,Pcs,2500,100000,3500,40000,140000,40%,Harian
03/02/2026,Karoket,25,Pcs,1500,37500,2000,12500,50000,"33,33333333%",Ritel
03/02/2026,Otak-Otak,110,Pcs,1000,110000,2000,110000,220000,100%,Ritel
04/02/2026,Bayam,2,Pcs,9000,18000,10000,2000,20000,"11,11111111%",Harian
04/02/2026,"Tissue Satpam",15,Pcs,7500,112500,8000,7500,120000,"6,666666667%",Ritel
04/02/2026,Sus,12,Pcs,3000,36000,3500,6000,42000,"16,66666667%",Ritel
04/02/2026,Bakwan,19,Pcs,2000,38000,2500,9500,47500,25%,Harian
04/02/2026,"Pangsit Goreng",6,Pcs,9000,54000,10000,6000,60000,"11,11111111%",Harian
04/02/2026,"Pangsit Bojot",9,Pcs,10000,90000,12000,18000,108000,20%,Harian
04/02/2026,"Nasi Cokot",26,Pcs,5000,130000,7000,52000,182000,40%,Harian
04/02/2026,Ricebowl,16,Pcs,10000,160000,12000,32000,192000,20%,Ritel
04/02/2026,"Sosis Solo",25,Pcs,2500,62500,3000,12500,75000,20%,Ritel
04/02/2026,Lemper,8,Pcs,3000,24000,3500,4000,28000,"16,66666667%",Ritel
04/02/2026,Odading,17,Pcs,2500,42500,3000,8500,51000,20%,Ritel
04/02/2026,Onde,11,Pcs,2500,27500,3000,5500,33000,20%,Ritel
04/02/2026,"Si Lahetot",71,Pcs,5000,355000,7000,142000,497000,40%,Harian
04/02/2026,Bakwan,24,Pcs,2000,48000,2500,12000,60000,25%,Harian
04/02/2026,Sus,33,Pcs,3000,99000,3500,16500,115500,"16,66666667%",Ritel
04/02/2026,"Nasi Bakar",9,Pcs,8000,72000,10000,18000,90000,25%,Harian
04/02/2026,Cilok,20,Pcs,2500,50000,3500,20000,70000,40%,Harian
04/02/2026,Karoket,23,Pcs,1500,34500,2000,11500,46000,"33,33333333%",Ritel
04/02/2026,Donat,30,Pcs,2500,75000,3000,15000,90000,20%,Ritel
04/02/2026,"Dadar Gulung",7,Pcs,2500,17500,3000,3500,21000,20%,Ritel
04/02/2026,Ketan,12,Pcs,2000,24000,2500,6000,30000,25%,Harian
04/02/2026,"Baso Cilok Kriwil",14,Pcs,10000,140000,11000,14000,154000,10%,Harian
04/02/2026,"Karoket Ayam",23,Pcs,2500,57500,3000,11500,69000,20%,Harian
04/02/2026,Cicos,26,Pcs,4000,104000,5000,26000,130000,25%,Harian
04/02/2026,"Pisang Goreng",25,Pcs,2000,50000,2500,12500,62500,25%,Ritel
04/02/2026,Ricebowl,38,Pcs,10000,380000,12000,76000,456000,20%,Ritel
04/02/2026,Otak-Otak,100,Pcs,1000,100000,2000,100000,200000,100%,Ritel
04/02/2026,"Risol Mayo Pedas",32,Pcs,3000,96000,3500,16000,112000,"16,66666667%",Harian
04/02/2026,Risoles,29,Pcs,1500,43500,2000,14500,58000,"33,33333333%",Harian
04/02/2026,"Cireng Irfan",30,Pcs,1500,45000,2000,15000,60000,"33,33333333%",#N/A
04/02/2026,Cibay,40,Pcs,1500,60000,2000,20000,80000,"33,33333333%",Ritel
04/02/2026,"Bakwan dan Gehu",68,Pcs,2000,136000,2500,34000,170000,25%,Harian
04/02/2026,"Nasi Cokot",54,Pcs,5000,270000,7000,108000,378000,40%,Harian
04/02/2026,"Pangsit Goreng",15,Pcs,9000,135000,10000,15000,150000,"11,11111111%",Harian
04/02/2026,"Pangsit Bojot",28,Pcs,10000,280000,12000,56000,336000,20%,Harian
04/02/2026,"Risol Mayo",135,Pcs,3000,405000,3500,67500,472500,"16,66666667%",Harian
04/02/2026,"Cireng Danu",100,Pcs,2000,200000,2500,50000,250000,25%,#N/A
04/02/2026,"Ricebowl Pa Hadi",16,Pcs,12000,192000,14000,32000,224000,"16,66666667%",Harian
04/02/2026,"CC Roll",42,Pcs,1500,63000,2000,21000,84000,"33,33333333%",Harian
04/02/2026,Cibay,12,Pcs,1500,18000,2000,6000,24000,"33,33333333%",Ritel
04/02/2026,"Cireng Japlun",70,Pcs,2000,140000,2500,35000,175000,25%,#N/A
04/02/2026,Spagetti,13,Pcs,9000,117000,10000,13000,130000,"11,11111111%",Harian
04/02/2026,"Sosis Solo",50,Pcs,2500,125000,3000,25000,150000,20%,Ritel
04/02/2026,Hanaang,60,Pcs,6500,390000,8000,90000,480000,"23,07692308%",Ritel
05/02/2026,Bayam,15,Pcs,9000,135000,10000,15000,150000,"11,11111111%",Harian
05/02/2026,Sus,20,Pcs,3000,60000,3500,10000,70000,"16,66666667%",Ritel
05/02/2026,Bakwan,16,Pcs,2000,32000,2500,8000,40000,25%,Harian
05/02/2026,Ricebowl,20,Pcs,10000,200000,12000,40000,240000,20%,Ritel
05/02/2026,"Pangsit Bojot",12,Pcs,10000,120000,12000,24000,144000,20%,Harian
05/02/2026,"Pangsit Goreng",8,Pcs,9000,72000,10000,8000,80000,"11,11111111%",Harian
05/02/2026,"Sosis Solo",27,Pcs,2500,67500,3000,13500,81000,20%,Ritel
05/02/2026,"Nasi Cokot",45,Pcs,5000,225000,7000,90000,315000,40%,Harian
05/02/2026,Bayam,15,Pcs,9000,135000,10000,15000,150000,"11,11111111%",Harian
05/02/2026,Bakwan,17,Pcs,2000,34000,2500,8500,42500,25%,Harian
05/02/2026,Sus,31,Pcs,3000,93000,3500,15500,108500,"16,66666667%",Ritel
05/02/2026,Ricebowl,44,Pcs,10000,440000,12000,88000,528000,20%,Ritel
05/02/2026,"Nasi Cokot",60,Pcs,5000,300000,7000,120000,420000,40%,Harian
05/02/2026,"Risol Mayo Pedas",32,Pcs,3000,96000,3500,16000,112000,"16,66666667%",Harian
05/02/2026,Lontong,35,Pcs,2000,70000,2500,17500,87500,25%,Harian
05/02/2026,Tempe,8,Pcs,2000,16000,2500,4000,20000,25%,Ritel
05/02/2026,Onde,19,Pcs,2500,47500,3000,9500,57000,20%,Ritel
05/02/2026,Odading,28,Pcs,2500,70000,3000,14000,84000,20%,Ritel
05/02/2026,"Bakwan dan Gehu",66,Pcs,2000,132000,2500,33000,165000,25%,Harian
05/02/2026,"Si Lahetot",49,Pcs,5000,245000,7000,98000,343000,40%,Harian
05/02/2026,"Pangsit Bojot",17,Pcs,10000,170000,12000,34000,204000,20%,Harian
05/02/2026,"Pangsit Goreng",9,Pcs,9000,81000,10000,9000,90000,"11,11111111%",Harian
05/02/2026,"Cireng Danu",100,Pcs,2000,200000,2500,50000,250000,25%,#N/A
05/02/2026,Otak-Otak,57,Pcs,1000,57000,2000,57000,114000,100%,Ritel
05/02/2026,Cicos,8,Pcs,4000,32000,5000,8000,40000,25%,Harian
05/02/2026,"Pisang Goreng",18,Pcs,2000,36000,2500,9000,45000,25%,Ritel
05/02/2026,Donat,30,Pcs,3000,90000,3500,15000,105000,"16,66666667%",Harian
05/02/2026,"Dadar Gulung",9,Pcs,3000,27000,3500,4500,31500,"16,66666667%",Harian
05/02/2026,Ketan,8,Pcs,2500,20000,3000,4000,24000,20%,Harian
05/02/2026,"Nasi Bakar",10,Pcs,8000,80000,10000,20000,100000,25%,Harian
05/02/2026,Cilok,30,Pcs,2500,75000,3500,30000,105000,40%,Harian
05/02/2026,Karoket,16,Pcs,1500,24000,2000,8000,32000,"33,33333333%",Ritel
05/02/2026,"Karoket Ayam",20,Pcs,2500,50000,3000,10000,60000,20%,Harian
05/02/2026,"Baso Cilok Kriwil",8,Pcs,10000,80000,11000,8000,88000,10%,Harian
05/02/2026,Risoles,14,Pcs,1500,21000,2000,7000,28000,"33,33333333%",Harian
05/02/2026,"Cireng Irfan",30,Pcs,1500,45000,2000,15000,60000,"33,33333333%",#N/A
05/02/2026,Cibay,40,Pcs,1500,60000,2000,20000,80000,"33,33333333%",Ritel
05/02/2026,"Risol Mayo",99,Pcs,3000,297000,3500,49500,346500,"16,66666667%",Harian
05/02/2026,"Kapal Api Mix",50,Pcs,1750,87500,4000,112500,200000,"128,5714286%",Ritel
05/02/2026,"Max Tea Tarik",40,Pcs,2500,100000,4000,60000,160000,60%,Harian
05/02/2026,Indocafemix,40,Pcs,1600,64000,4000,96000,160000,150%,Ritel
05/02/2026,"Toracafe Caramel Latte",10,Pcs,1500,15000,4000,25000,40000,"166,6666667%",#N/A
05/02/2026,"Toracafe Choco Latte",10,Pcs,1500,15000,4000,25000,40000,"166,6666667%",#N/A
05/02/2026,"Choki Choki",20,Pcs,900,18000,1000,2000,20000,"11,11111111%",Ritel
06/02/2026,Sus,20,Pcs,3000,60000,3500,10000,70000,"16,66666667%",Ritel
06/02/2026,Bakwan,11,Pcs,2000,22000,2500,5500,27500,25%,Harian
06/02/2026,Cilok,25,Pcs,2500,62500,3500,25000,87500,40%,Harian
06/02/2026,Karoket,9,Pcs,1500,13500,2000,4500,18000,"33,33333333%",Ritel
06/02/2026,Spagetti,16,Pcs,9000,144000,10000,16000,160000,"11,11111111%",Harian
06/02/2026,"Sosis Solo",51,Pcs,2500,127500,3000,25500,153000,20%,Ritel
06/02/2026,"Cireng Japlun",70,Pcs,2000,140000,2500,35000,175000,25%,#N/A
06/02/2026,Tempe,19,Pcs,2000,38000,2500,9500,47500,25%,Ritel
06/02/2026,Lontong,30,Pcs,2000,60000,2500,15000,75000,25%,Harian
06/02/2026,Odading,13,Pcs,2500,32500,3000,6500,39000,20%,Ritel
06/02/2026,Onde,17,Pcs,2500,42500,3000,8500,51000,20%,Ritel
06/02/2026,"Bakwan dan Gehu",65,Pcs,2000,130000,2500,32500,162500,25%,Harian
06/02/2026,"Karoket Ayam",29,Pcs,2500,72500,3000,14500,87000,20%,Harian
06/02/2026,"Nasi Cokot",60,Pcs,5000,300000,7000,120000,420000,40%,Harian
06/02/2026,"Cireng Danu",100,Pcs,2000,200000,2500,50000,250000,25%,#N/A
06/02/2026,"Pangsit Goreng",7,Pcs,9000,63000,10000,7000,70000,"11,11111111%",Harian
06/02/2026,"Pangsit Bojot",13,Pcs,10000,130000,12000,26000,156000,20%,Harian
06/02/2026,"Si Lahetot",48,Pcs,5000,240000,7000,96000,336000,40%,Harian
06/02/2026,"Risol Mayo",76,Pcs,3000,228000,3500,38000,266000,"16,66666667%",Harian
06/02/2026,Ricebowl,20,Pcs,10000,200000,12000,40000,240000,20%,Ritel
06/02/2026,Sand.Ckl,7,Pcs,6000,42000,7200,8400,50400,20%,Harian
06/02/2026,Sand.Kacang,2,Pcs,6000,12000,7200,2400,14400,20%,Harian
06/02/2026,Sand.Keju,6,Pcs,6000,36000,7200,7200,43200,20%,Harian
06/02/2026,Sandzup.Ckl,4,Pcs,5000,20000,6000,4000,24000,20%,Ritel
06/02/2026,Sandzup.Moc,2,Pcs,5000,10000,6000,2000,12000,20%,Harian
06/02/2026,Sandzup.Strw,2,Pcs,5000,10000,6000,2000,12000,20%,Ritel
06/02/2026,"Choco Bun",9,Pcs,4000,36000,4800,7200,43200,20%,Ritel
06/02/2026,"Choco Cheese GT",12,Pcs,4000,48000,4800,9600,57600,20%,Ritel
06/02/2026,"Swe Cheese Bun GT",1,Pcs,4000,4000,4800,800,4800,20%,Ritel
06/02/2026,"Straw Bun GT",1,Pcs,4000,4000,4800,800,4800,20%,Harian
06/02/2026,"Blue Bun GT",2,Pcs,4000,8000,5000,2000,10000,25%,Harian
06/02/2026,"Coconut Bun GT",1,Pcs,4000,4000,4800,800,4800,20%,Harian
06/02/2026,"Z Krim Strawberry",2,Pcs,5000,10000,6000,2000,12000,20%,Harian
06/02/2026,"Dryk Ckl",3,Pcs,6000,18000,7200,3600,21600,20%,Harian
06/02/2026,"Dryk Straw",1,Pcs,6000,6000,7200,1200,7200,20%,Ritel
06/02/2026,"Dryk Nastar",1,Pcs,6000,6000,7200,1200,7200,20%,Harian
06/02/2026,"Sbk Cokelat",1,Pcs,18000,18000,21600,3600,21600,20%,Ritel
06/02/2026,"Sbk Cokelat Keju",1,Pcs,18000,18000,21600,3600,21600,20%,Ritel
06/02/2026,"Ksr Krim Meses",1,Pcs,11500,11500,13300,1800,13300,"15,65217391%",Harian
06/02/2026,"Sbk Duo Cokelat Keju",1,Pcs,8500,8500,9700,1200,9700,"14,11764706%",Ritel
06/02/2026,"Chif Cokelat",4,Pcs,5000,20000,6000,4000,24000,20%,Ritel
07/02/2026,Bakwan,6,Pcs,2000,12000,2500,3000,15000,25%,Harian
07/02/2026,Sus,15,Pcs,3000,45000,3500,7500,52500,"16,66666667%",Ritel
07/02/2026,"Sosis Solo",26,Pcs,2500,65000,3000,13000,78000,20%,Ritel
07/02/2026,Ricebowl,9,Pcs,10000,90000,12000,18000,108000,20%,Ritel
09/02/2026,Bakwan,29,Pcs,2000,58000,2500,14500,72500,25%,Harian
09/02/2026,Ricebowl,20,Pcs,10000,200000,12000,40000,240000,20%,Ritel
09/02/2026,"Rafa Putra",60,Pcs,1600,96000,2000,24000,120000,25%,Harian
09/02/2026,"Nasi Cokot",34,Pcs,5000,170000,7000,68000,238000,40%,Harian
09/02/2026,"Sosis Solo",28,Pcs,2500,70000,3000,14000,84000,20%,Ritel
09/02/2026,"Pangsit Goreng",8,Pcs,9000,72000,10000,8000,80000,"11,11111111%",Harian
09/02/2026,"Pangsit Bojot",16,Pcs,10000,160000,12000,32000,192000,20%,Harian
09/02/2026,"Risol Mayo",45,Pcs,3000,135000,3500,22500,157500,"16,66666667%",Harian
10/02/2026,Bakwan,25,Pcs,2000,50000,2500,12500,62500,25%,Harian
10/02/2026,"Bakwan dan Gehu",49,Pcs,2000,98000,2500,24500,122500,25%,Harian
10/02/2026,"Pangsit Bojot",11,Pcs,10000,110000,12000,22000,132000,20%,Harian
10/02/2026,"Pangsit Goreng",7,Pcs,9000,63000,10000,7000,70000,"11,11111111%",Harian
10/02/2026,Ricebowl,18,Pcs,10000,180000,12000,36000,216000,20%,Ritel
10/02/2026,"Nasi Cokot",50,Pcs,5000,250000,7000,100000,350000,40%,Harian
10/02/2026,Kriwil,36,Pcs,2500,90000,3000,18000,108000,20%,Harian
10/02/2026,"Seblak Beton",24,Pcs,2500,60000,3000,12000,72000,20%,Ritel
10/02/2026,Cistik,15,Pcs,2500,37500,3000,7500,45000,20%,Harian
10/02/2026,"Sosis Solo",29,Pcs,2500,72500,3000,14500,87000,20%,Ritel
11/02/2026,"Good Day Cappucino",20,Pcs,2100,42000,4000,38000,80000,"90,47619048%",Ritel
11/02/2026,"Toracafe Choco Latte",10,Pcs,1500,15000,4000,25000,40000,"166,6666667%",#N/A
11/02/2026,"Good Day Coolin",40,Pcs,1500,60000,4000,100000,160000,"166,6666667%",Ritel
11/02/2026,"Kapal Api Mix",50,Pcs,1750,87500,4000,112500,200000,"128,5714286%",Ritel
11/02/2026,Indocafemix,30,Pcs,1600,48000,4000,72000,120000,150%,Ritel
11/02/2026,Tessa,2,Pcs,5000,10000,5000,0,10000,0%,Ritel
11/02/2026,"Charm 23 cm",10,Pcs,1350,13500,3000,16500,30000,"122,2222222%",Ritel
